1069	423	4	1392336000
173	423	5	1361836800
175	423	3	1360195200
157	423	5	1354320000
78	423	5	1393804800
1257	423	5	1370044800
907	423	5	1332201600
384	423	5	1394496000
978	423	4	1330041600
877	423	5	1387065600
382	423	5	1365638400
448	423	4	1362268800
1037	423	5	1359676800
26	423	3	1316044800
343	423	5	1328745600
440	423	4	1372550400
374	423	4	1355270400
854	423	1	1328054400
792	423	5	1306108800
984	423	5	1326844800
974	423	5	1396569600
1149	423	5	1381536000
1072	423	5	1364515200
824	423	5	1391385600
1416	423	5	1313971200
1080	423	5	1295395200
230	423	5	1364083200
1240	423	5	1340755200
478	423	5	1390262400
368	423	5	1303084800
677	423	5	1384732800
911	423	5	1363910400
249	423	5	1344988800
520	423	4	1381795200
1252	423	5	1393459200
1209	423	5	1383436800
1280	423	5	1327881600
1351	423	5	1350000000
81	423	5	1365033600
257	423	5	1299456000
168	423	5	1403481600
1290	423	5	1394755200
523	423	5	1391644800
505	423	4	1319328000
597	423	5	1364256000
413	423	5	1375401600
1225	423	5	1324598400
129	423	4	1387324800
1004	423	5	1327708800
52	423	5	1352505600
1088	423	5	1354579200
836	423	5	1377561600
1345	423	5	1394928000
23	423	5	1384992000
1206	423	5	1389484800
1018	423	1	1388534400
254	423	5	1342742400
986	423	5	1361664000
767	423	5	1360368000
680	423	5	1309478400
405	423	5	1354665600
525	423	5	1391385600
104	163	5	1387238400
1210	163	5	1313798400
289	163	5	1354406400
225	163	4	1378944000
539	163	4	1381536000
76	163	5	1331942400
159	163	5	1313280000
420	163	5	1372032000
1103	163	3	1335225600
1009	163	5	1394236800
354	163	3	1316476800
1287	163	5	1369958400
1081	163	5	1393891200
642	163	3	1363910400
163	163	4	1330041600
531	163	5	1307491200
4	163	5	1309219200
752	163	5	1358380800
1250	163	4	1388534400
1174	163	5	1370476800
1163	163	5	1391558400
1123	163	3	1327795200
58	163	5	1356566400
976	163	5	1310342400
1400	163	4	1354233600
452	163	4	1386201600
